Team,Group,"Previous 
appearances","Previous 
titles","Previous
 finals","Previous
 semifinals","Current 
FIFA rank",Match played 2018,Match won 2018,Match Draw 2018,Match Lost 2018,Goal For 2018,Goal Against 2018,Goal Difference 2018,Total Points,ROUND_16 Qualify,Round 16 Match Against,Match Index,History won,History lost,history draw
Russia,A,10,0,0,1,65,3,2,0,1,8,4,4,6,1,Spain,5,0,4,2
Saudi Arabia,A,4,0,0,0,63,3,1,0,2,2,7,-5,3,0,NA,0,,,
Egypt,A,2,0,0,0,31,3,0,0,3,2,6,-4,0,0,NA,0,,,
Uruguay,A,12,2,2,5,21,3,3,0,0,5,0,5,9,1,Portugal,1,0,1,1
Portugal,B,6,0,0,2,3,3,1,2,0,5,4,1,5,1,Uruguay,1,1,,1
Spain,B,14,1,1,2,6,3,1,2,0,6,5,1,5,1,Russia,5,4,0,2
Morocco,B,4,0,0,0,40,3,0,1,2,2,4,-2,1,0,NA,0,,,
IRAN,B,4,0,0,0,32,3,1,1,1,2,2,0,4,0,NA,0,,,
France,C,14,1,2,5,9,3,2,1,0,3,1,2,7,1,Argentina,2,2,6,3
Australia,C,4,0,0,0,39,3,0,1,2,2,5,-3,1,0,NA,0,,,
Peru,C,4,0,0,0,11,3,1,0,2,2,2,0,3,0,NA,0,,,
Denmark,C,4,0,0,0,12,3,1,2,0,2,1,1,5,1,Croatia,6,2,2,1
Argentina,D,16,2,5,5,4,3,1,1,1,3,5,-2,4,1,France,2,6,2,3
Iceland,D,0,0,0,0,22,3,0,1,2,2,5,-3,1,0,NA,0,,,
Croatia,D,4,0,0,1,17,3,3,0,0,7,1,6,9,1,Denmark,6,2,2,1
Nigeria,D,5,0,0,0,50,3,1,0,2,3,4,-1,3,0,NA,0,,,
Brazil,E,20,5,7,11,2,3,2,1,0,5,1,4,7,1,Mexico,3,23,10,7
Switzerland,E,10,0,0,0,8,3,1,2,0,5,4,1,5,1,Sweden,7,10,10,7
Costarica,E,4,0,0,0,26,3,0,1,2,2,5,-3,1,0,NA,0,,,
Serbia,E,11,0,0,2,37,3,1,0,2,2,4,-2,3,0,NA,0,,,
Germany,F,18,4,8,13,1,3,1,0,2,2,4,-2,3,0,NA,0,,,
Mexico,F,15,0,0,0,16,3,2,0,1,3,4,-1,6,1,Brazil,3,10,23,7
Sweden,F,11,0,1,4,18,3,2,0,1,5,2,3,6,1,Switzerland,7,10,10,7
Korea,F,9,0,0,1,59,3,2,0,1,3,4,-1,6,0,NA,0,,,
Belgium,G,12,0,0,1,5,3,3,0,0,9,2,7,9,1,Japan,4,1,2,2
Panama,G,0,0,0,0,56,3,0,0,3,2,11,-9,0,0,NA,0,,,
Tunisia,G,4,0,0,0,27,3,1,0,2,5,8,-3,3,0,NA,0,,,
England,G,14,1,1,2,15,3,2,0,1,8,3,5,6,1,Columbia,8,4,0,0
Poland,H,7,0,0,2,7,3,1,0,2,2,5,-3,3,0,NA,0,,,
Senegal,H,1,0,0,0,23,3,1,1,1,4,4,0,4,0,NA,0,,,
Columbia,H,5,0,0,0,13,3,2,0,1,5,2,3,6,1,England,8,0,4,0
Japan,H,5,0,0,0,55,3,1,1,1,4,4,0,4,1,Belgium,4,2,1,2
